English Translation,Standard Bangla Lanuguage,Romanized Bangla,Chittagong Language,Romanized Chittagong Language,Sylhet Language,Romanized Sylhet Language
Why are you saying that?,কেনো বলতেছেন?,Keno boltechen?,কেআ হন্দে?,Kea honde?,কিতার লাগি কইরায় ,Kitar lagi koiray
What do you do?,কি করো?,Ki koro?,কিরর?,Kiror?,কিতা করো ,Kita koro
My mind is not well.,আমার মন ভালো নেই,Amar mon bhalo nei,আঁর মনত শান্তি নাই,Añr monot shanti nai,আমার মন ভালা নাই ,Amar mon bala nai
Not feeling well.,মন ভালো নেই,Mon bhalo nei,মনত শান্তি নাই,Monot shanti nai,মন ভালা নাই ,Mon bala nai
Where is your home?,আপনাদের বাড়ি কোথায়,Apnader bari kothay,তোঁয়ারো বাড়ি হন্ডে,Toaro bari honde,আফনারার বাড়ি কই ,Afnarar baṛi koi
I don’t go to school.,আমি স্কুলে যাই না,Ami school e jai na,আঁই স্কুলত ন যাই,Añi schoolot no zai,আমি স্কুলো যাইতাম না,Ami skulo zaitam na
I won’t go.,আমি যাবো না,Ami jabo na,আঁই ন যাইয়্যুম,Añi no zaiyyum,আমি যাইতাম না,Ami zaitam na
I didn’t go to school.,আমি স্কুলে যাই নি,Ami school e jai ni,ইয়ান গেলদে হালিয়ে গইজ্জি,Ian gelde halie goijji,আমি স্কুলো গেছি না ,Ami skulo gesi na
I told you to leave from here.,তোমাকে এইখান থেকে যেতে বলেছি ,Tomake eikhan theke jete bolechi,তোয়ারে এইতুন যাইতামগো হইদি ,Toyare eitun zaitamgo hoidi,তোমারে ওখান থাকি যাইতে কইছি,Tomare okhan thaki zaite koisi
Told to leave from here.,এইখান থেকে যেতে বলেছি,Eikhan theke jete bolechi,এইতুন যাইতামগো হইদি ,Eitun zaitamgo hoidi,ওখান থাকি যাইতে কইছি,Okhan thaki zaite koisi
What do you do?,তুমি কি কাজ করো?,Tumi ki kaaj koro?,তুমি কি কাম গরতে লাইগ?,Tumi ki kam gorte laig?,তুমি কিতা কাজ করো ?,Tumi kita kaz koro?
What do you do?, কি কাজ করো?,Ki kaaj koro?,কি কাম গরতে লাইগ?,Ki kam gorte laig?,কিতা কাজ করো ?,Kita kaz koro?
Do you work?,কাজ করো?,Kaaj koro?,গরতে লাইগ?,Gorte laig?,কাজ করো?,Kaz koro?
Talk less?,কথা কম বলো?,Kotha kom bolo?,কথা হম হইস ,Hotha hom hois,মাত থোরা কইন?,Mat thora koin?
Do this work?,এই কাজটা করো?,Ei kaajta koro?,এই হাম্মান গড়ে দেও?,Ei hamman gore deo?,এই কাজটা করো?,Ei kazṭa koro?
Do the work.,কাজটা করো,Kaajta koro,হাম্মান গড়ে দেও,Hamman gore deo,কাজটা করো,Kazṭa koro
Do work in the morning.,সকালবেলা কাজ করো,Shokalbela kaaj koro,বেইন্নে গরতে লাইগ,Beinne gorte laig,বিয়ানবালা কাজ করো,Bianbala kaz koro
Work in the evening.,সন্ধ্যা কাজ করো,Shondha kaaj koro,হাজুইন্নে গরতে লাইগ,Hazuinne gorte laig,হাইঞ্জাবালা কাজ করো,Hainzabala kaz koro
I will slap you on one cheek.,এক গালে একটা থাপ্পর লাগিয়ে দিব ,Ek gaale ekta thappor lagiye dibo,অজ্ঞ গাল সায় সুয়ার দিউম,Oggo gal say suar dium,এক গালো একটা ছড় লাগাইয়া দিমু,Ek galo ekṭa soṛ lagaiya dimu
I will slap you.,একটা থাপ্পর লাগিয়ে দিব ,Ekta thappor lagiye dibo,সায় সুয়ার দিউম,Say suar dium,একটা ছড় লাগাইয়া দিমু ,Ekṭa soṛ lagaiya dimu
I will eat rice.,আমি ভাত খাব,Ami bhat khabo,আই ভাত খাইয়ুম ,Ai bhat haiyum,আমি ভাত খাইতাম ,Ami bat khaitam
Will eat rice.,ভাত খাব,Bhat khabo,ভাত খাইয়ুম ,Bhat haiyum,ভাত খাইতাম ,Bat khaitam
I have work.,আমার কাজ আছে,Amar kaaj ache,আর কাম আছে,Ar kam ase,আমার কাম আছে ,Amar kam ase
Have work.,কাজ আছে,Kaaj ache,কাম আছে,Kam ase,কাম আছে ,Kam ase
We will go.,আমরা যাইব,Amra jaibo,আরা যাইয়ুম ,Ara zaiyum,আমরা যাইমু ,Amra zaimu
What is your name?,তোমার নাম কী?,Tomar naam ki?,তোঁয়ার নাম কী?,Toar nam ki?,তোমার নাম কিতা ,Tomar nam kita
My name is Noyon.,আমার নাম নয়ন।,Amar naam Noyon.,আঁর নাম নয়ন।,Añr nam Noyon.,আমার নাম নয়ন।,Amar nam noyon.
I love you.,আমি তোমাকে ভালবাসি,Ami tomake bhalobashi,আঁত্তে তোঁয়ারে ভালা লাগে,Añtte toyare bhala lage,আমি তোমারে ভালাপাই ,Ami tomare balapai
Love you.,তোমাকে ভালবাসি,Tomake bhalobashi,তোঁয়ারে ভালা লাগে,Toyare bhala lage,তোমারে ভালাপাই ,Tomare balapai
Where are you going?,তুমি কোথায় যাচ্ছ?,Tumi kothay jaccho?,তুঁই কডে য‌অর?,Tui kode zor?,তুমি কই যাইরায়,Tumi koi zairay
Where are you going?,কোথায় যাচ্ছ?,Kothay jaccho?,কডে য‌অর?,Kode zor?,কই যাইরায়,Koi zairay
What should I bring?,কি আনব,Ki anbo,কী আইন্নুম,Ki ainnum,কিতা আনতাম ,Kita antam
"The baby is crying, feed him.","বাচ্চা কাঁদছে, খাবার খাওয়াও","Baccha kadche, khabar khawao","ফুয়া হান্দের, বচ্চু হাবাই দ","Fua hander, bossu habai do","ফুরুত্তা কান্দের, খানি খাওয়াও ","Furutta kander, khani khaowao"
I eat.,আমি খাই,Ami khai, আই হাই ,Ai hai,আমি খাই,Ami khai
I play.,আমি খেলি,Ami kheli,আই খেলি,Ai heli,আমি খেলি,Ami kheli
I will eat.,আমি খাব,Ami khabo,আই হাইয়ুম,Ai haiyum,আমি খাইমু ,Ami khaimu
I study.,আমি পড়ি ,Ami pori,আই ফড়ি,Ai fori,আমি পড়রাম ,Ami foṛram
I will study.,আমি পড়বো ,Ami porbo,আই ফৈরজুম ,Ai foirjum,আমি পড়মু ,Ami foṛmu
I will go to school.,আমি স্কুলে যাব,Ami school e jabo,আই স্কুলোত জিয়ুম,Ai schoolot ziyum,আমি স্কুলো যাইমু ,Ami skulo zaimu
Will go to school.,স্কুলে যাব,School e jabo,স্কুলোত জাইয়ুম,Schoolot zaiyum,স্কুলো যাইমু ,Skulo zaimu
I won’t eat rice.,আমি ভাত খাবো না,Ami bhat khabo na,আই ভাত খাইতম্ন,Ai bhat haitomno,আমি ভাত খাইতাম না ,Ami bat khaitam na
Won’t eat.,খাবো না,Khabo na,ভাত খাইতম্ন,Bhat haitomno,খাইতাম না ,Khaitam na
What do you do?,তুমি কি করো,Tumi ki koro,তুয়ায় কিত্ত্যালাখগু দে,Tuay kittalakhgu de,তুমি কিতা করো,Tumi kita koro
What do you do?,কি করো,Ki koro,কিত্ত্যালাখগু দে,Kittalakhgu de,কিতা করো ,Kita koro
I play games.,আমি খেলা করি,Ami khela kori,আই খেলা হাই,Ai hela hai,আমি খেলা কররাম ,Ami khela korram
Play games.,খেলা করি,Khela kori,খেলা হাই,Hela hai,খেলা কররাম ,Khela korram
Did you eat rice?,তুমি ভাত খেয়েছো ,Tumi bhat kheyecho,তুয়াই ভাত হাইউনা,Tuai bhat haiuna,তুমি ভাত খাইছো ,Tumi bat khaiso
How are you?,কি খবর তোমার,Ki khobor tomar,কি হবর তুয়ার,Ki hobor tuar,কিতা খবর তোমার ,Kita khobor tomar
What’s up?,কি খবর,Ki khobor,কি হবর,Ki hobor,কিতা খবর ,Kita khobor
Where is your home?,তোমাদের বাড়ি কোথায় ,Tomader bari kothay,তুয়ারও বাড়ি হন্ডে,Tuaro bari honde,তোমরার বাড়ি কই ,Tomrar baṛi koi
Where is home?,বাড়ি কোথায় ,Bari kothay,বাড়ি হন্ডে,Bari honde,বাড়ি কই ,Baṛi koi
What is everyone doing?,কি করো সবাই,Ki koro shobai,বিআগগুন কিত্তালাগগু,Biaggun kittalaggo,কিতা করো হ্ক্কলে ,Kita koro hkkole
What do you do?,কি করো,Ki koro,কিত্তালাগগু,Kittalaggo,কিতা করো,Kita koro
I will come by rickshaw.,আমি রিক্সা করে আসবো ,Ami rickshaw kore ashbo,আই রিক্সাত গড়ি আইসসুম,Ai riksat gori aissum,আমি রিক্সা দিয়া আইমু,Ami riksha diya aimu
Will come by rickshaw.,রিক্সা করে আসবো ,Rickshaw kore ashbo,রিক্সাত গড়ি আইসসুম,Riksat gori aissum,রিক্সা দিয়া আইমু ,Riksha diya aimu
My name is Arif.,আমার নাম আরিফ,Amar naam Arif,আর নাম আরিফ,Ar nam Arif,আমার নাম আরিফ,Amar nam Arif
What do you do?,তুমি কি কর,Tumi ki kor,তুই কি গরো ,Tui ki goro,তুমি কিতা কর,Tumi kita kor
What do you do?,কি কর,Ki kor,কি গরো ,Ki goro,কিতা কর,Kita kor
How old are you?,তোমার বয়স কত,Tomar boyosh koto,তুয়ার বয়স হতো,Tuar boyosh hoto,তোমার বয়স কত ,Tomar boyosh koto
Not good.,না ভাল নাই,Na bhalo nai,না ভালা নাই,Na bhala nai,না ভালা নাই,Na bala nai
I am angry.,আমি রাগ করেছি,Ami raag korechi,আই গোসসা গইজ্জি,Ai gossa goijji,আমি ঘুষা করছি ,Ami gusha korsi
I will talk to you later.,আমি তোমার সাথে পরে কথা বলব,Ami tomar shathe pore kotha bolbo,ফরে হতা কইয়ুম,Fore hota koiyum,আমি তোমার লগে পরে কথা কইমু,Ami tomar loge fore kotha koimu
This house is ours.,এই বাড়িটা আমাদের,Ei barita amader,বারি ইবে আঁরার,Bari ibe Añrar,ওউ বাড়ি আমরার ,Ou baṛi amrar
Sit nicely.,সুন্দর ভাবে বস,Shundor bhabe bosho,তুই উওফারি বয়,Tui uofari boy,সুন্দর করিয়া বও ,Shundor koriya bo
No one came to our house.,আমাদের বাড়িতে কেউ আসে নাই,Amader barite keu ashe nai,আঁরো বারিত কনো কিয়া নো আইয়ি,Añro barit kono kiya no aiyi,আমরা বাড়িত কেউ আইছে না ,Amra baṛit keu aise na
What are you doing?,কী করছেন,Ki korchen,কি গইত্ত্যু লাইগ্গুন,Ki goittyu laiggun,কিতা কররায়,Kita korray
"Brother, what are you doing?",ভাই/ভাইয়া কী করছেন?,Bhai/Bhaiya ki korchen?,বদ্দা কি গইত্ত্যু লাইগ্গ্যুন?,Bodda ki goittyu laiggun?,ভাই কিতা কররায়,Bai kita korray
"Can’t do it, high fever.",করতে পারতেছি না অনেক জর,Korte partechi na onek jor,গরিন্নফারির বউত জর,Gorinnofarir bout jor,করতাম পাররাম না বহুত জ্বর ,Kortam parram na bohut zor
I like apples.,আপেল আমার  পছন্দ,Apple amar pochondo,আফেল আঁত্তে মঅব্বত,Afel Añtte moobbot,আপেল আমার পছন্দ ,Afel amar posondo
I like grapes.,আঙ্গুর  আমার  পছন্দ,Angur amar pochondo,আনকুর আঁত্তে মঅব্বত,Ankur Añtte moobbot,আঙ্গুর আমার পছন্দ ,Angur amar posondo
He eats a lot.,সে অনেক খায় ,Se onek khay,ইতে যে হানা হায় ,Ite ye hana hay,হে অনেক খায়,He onek khay
What did I do?,আমি কি করলাম?,Ami ki korlam?,আই কিচ্চি?,Ai kissi?,আমি কিতা করছি ,Ami kita korsi
Will go out today.,আজকে বাহিরে যাব,Ajke bahire jabo,আজিয়া বাআরকুলে যাইয়ুম ,Aziya baarkule zaiyum,আজকে বাইরে যাইমু,Azke baire zaimu
Won’t go out today.,আজকে বাহিরে যাব না,Ajke bahire jabo na,আইদ্দে হালিয়া বাআরকুলে নযাইয়ুম ,Aidde haliya baarkule nozaiyum,আজকে বাইরে যাইতাম নায়,Azke baire zaitam nay
Tell me the truth.,আমাকে সত্যি কথা বলুন,Amake shotti kotha bolun,আরে হাছা হতা হয়ডো ,Are hasa hota hoydo,আমারে হাছা কথা কৌকা,Amare hasa kotha kouka
Tell the truth.,সত্যি কথা বলুন,Shotti kotha bolun,হাছা হতা হয়ডো ,Hasa hota hoydo,হাছা কথা কৌকা,Hasa kotha kouka
Speak.,কথা বলুন,Kotha bolun,হতা হয়ডো ,Hota hoydo,কথা কৌকা,Kotha kouka
Tell me the truth.,আমাকে সত্যি বলুন,Amake shotti bolun,আরে হাছা হয়ডো ,Are hasa hoydo,আমারে হাছা কৌকা,Amare hasa kouka
Tell the truth.,সত্যি বলুন,Shotti bolun,হাছা হয়ডো,Hasa hoydo,হাছা কৌকা,Hasa kouka
You wake up early.,তুমি ঘুম থেকে তাড়াতাড়ি উঠে যাও ,Tumi ghum theke taratari uthe jao,তুই গুমের তুন জলদি উঠ ,Tui gumer tun zoldi uth,তুমিতাইন ঘুম তনে জলদি উঠি যাইও ,Tumitain ghum tone zoldi uṭhi zaio
Wake up early.,ঘুম থেকে তাড়াতাড়ি উঠে যাও ,Ghum theke taratari uthe jao,গুমের তুন জলদি উঠ ,Gumer tun zoldi uth,ঘুম তনে জলদি উঠি যাইও ,Ghum tone zoldi uṭhi zaio
Get up early.,তাড়াতাড়ি উঠে যাও ,Taratari uthe jao,জলদি উঠ ,Zoldi uth,জলদি উঠি যাইও ,Zoldi uṭhi zaio
Get up.,উঠে যাও ,Uthe jao,উঠ যাইও ,Uth zaiyo,উঠি যাইও ,Uṭhi zaio
You get up early.,তুমি তাড়াতাড়ি উঠে যাও ,Tumi taratari uthe jao,তুই জলদি উঠ ,Tui zoldi uth,তুমিতাইন জলদি উঠি যাইও ,Tumitain zoldi uṭhi zaio
I have breakfast and go to school.,আমি সকালে নাস্তা করে স্কুলে যাই ,Ami shokale nasta kore school e jai,আই সকালট নাস্তা হরিয়ার স্কুলত যাই ,Ai sokalot nasta horiyar schoolot zai,আমি সোকাইলকু নাস্তা খাইয়া বাদে স্কুল ও যাই ,Ami sokailku nasta khaiya bade skul o zai
I have breakfast and go to school.,সকালে নাস্তা করে স্কুলে যাই ,Shokale nasta kore school e jai,সকালট নাস্তা হরিয়ার স্কুলত যাই ,Sokalot nasta horiyar schoolot zai,সোকাইলকু নাস্তা খাইয়া বাদে স্কুল ও যাই ,Sokailku nasta khaiya bade skul o zai
Have breakfast and go to school.,নাস্তা করে স্কুলে যাই ,Nasta kore school e jai,নাস্তা হরিয়ার স্কুলত যাই ,Nasta horiyar schoolot zai,নাস্তা খাইয়া বাদে স্কুল ও যাই ,Nasta khaiya bade skul o zai
Go to school.,স্কুলে যাই ,School e jai,স্কুলত যাই ,Schoolot zai,স্কুল ও যাই ,Skul o zai
We have work.,আমাদের কাজ আছে,Amader kaaj ache,আরার কাম আছে,Arar kam ase,আমরার কাম আছে ,Amrar kam ase
You have work.,তোমার কাজ আছে,Tomar kaaj ache,তুর কাম আছে,Tur kam ase,তোমার কাম আছে ,Tomar kam ase
For you.,আপনার জন্য,Apnar jonno,অনর লাই,Onor lai,আফনার লাগি ,Afnar lagi
Did you go to school today?,তুই আজকে স্কুলে গিয়েছিলি?,Tui ajke school e giyechili?,তুই আজি এ স্কুলত গে - লিনা ,Tui aji e schoolot ge - lina,তুই আজকো স্কুল ও গেছলে ,Tui azko skul o gesle
Did you go to school today?,আজকে স্কুলে গিয়েছিলি?,Ajke school e giyechili?,আজি এ স্কুলত গে - লিনা ,Aji e schoolot ge - lina,আজকো স্কুল ও গেছলে ,Azko skul o gesle
What should I bring?,কি কি আনব,Ki ki anbo,কি কি আইন্নুম,Ki ki ainnum,কিতা কিতা আনতাম ,Kita kita antam
I don’t feel like eating anything in the morning.,আমার সকালে কিছু খেতে ভালো লাগে না,Amar shokale kichu khete bhalo lage na,আমার সকালত হিছু খাইত গম না লাগে,Amar sokalot hisu hait gom na lage,আমার সকালকু কুন্টা খাইতে ভালা লাগে না,Amar sokalku kunṭa khaite bala lage na
I don’t feel like eating anything in the morning.,সকালে কিছু খেতে ভালো লাগে না,Shokale kichu khete bhalo lage na,সকালত হিছু খাইত গম না লাগে,Sokalot hisu hait gom na lage,সকালকু কুন্টা খাইতে ভালা লাগে না,Sokalku kunṭa khaite bala lage na
Don’t feel like eating anything.,কিছু খেতে ভালো লাগে না,Kichu khete bhalo lage na,হিছু খাইত গম না লাগে,Hisu hait gom na lage,কুন্টা খাইতে ভালা লাগে না,Kunṭa khaite bala lage na
Don’t feel like eating.,খেতে ভালো লাগে না,Khete bhalo lage na,খাইত গম না লাগে,Hait gom na lage,খাইতে ভালা লাগে না,Khaite bala lage na
Don’t like it.,ভালো লাগে না,Bhalo lage na,গম না লাগে,Gom na lage,ভালা লাগে না,Bala lage na
Don’t like it.,লাগে না,Lage na,না লাগে,Na lage,লাগে না,Lage na
I don’t feel like eating in the morning.,আমার সকালে খেতে ভালো লাগে না,Amar shokale khete bhalo lage na,আরে সকালত খাইত গম না লাগে,Are sokalot hait gom na lage,আমার সকালকু খাইতে ভালা লাগে না,Amar sokalku khaite bala lage na
I feel like eating in the morning.,আমার সকালে খেতে ভালো লাগে,Amar shokale khete bhalo lage,আরে সকালত খাইত গম লাগে,Are sokalot hait gom lage,আমার সকালকু খাইতে ভালা লাগে,Amar sokalku khaite bala lage
I feel like eating something in the morning.,আমার সকালে কিছু খেতে ভালো লাগে ,Amar shokale kichu khete bhalo lage,আমার সকালত হিছু খাইত গম লাগে,Amar sokalot hisu hait gom lage,আমার সকালকু কুন্টা খাইতে ভালা লাগে,Amar sokalku kunṭa khaite bala lage
I feel like eating something in the morning.,সকালে কিছু খেতে ভালো লাগে,Shokale kichu khete bhalo lage,সকালত হিছু খাইত গম লাগে,Sokalot hisu hait gom lage,সকালকু কুন্টা খাইতে ভালা লাগে ,Sokalku kunṭa khaite bala lage
Feel like eating something.,কিছু খেতে ভালো লাগে ,Kichu khete bhalo lage,হিছু খাইত গম লাগে,Hisu hait gom lage,কুন্টা খাইতে ভালা লাগে ,Kunṭa khaite bala lage
Feel like eating.,খেতে ভালো লাগে ,Khete bhalo lage,খাইত গম না লাগে,Hait gom na lage,খাইতে ভালা লাগে ,Khaite bala lage
Like it.,ভালো লাগে ,Bhalo lage,গম লাগে,Gom lage,ভালা লাগে ,Bala lage
Answer my question.,আমার প্রশ্নের জবাব দিন,Amar proshner jobab din,আর প্রশ্নত জবাব দো ,Ar proshnot jobab do,আমার মাত ওর জবাব দেউকা,Amar mat or zobab deuka
Answer the question.,প্রশ্নের জবাব দিন,Proshner jobab din,প্রশ্নত জবাব দো ,Proshnot jobab do,মাত ওর জবাব দেউকা,Mat or zobab deuka
Answer.,জবাব দিন,Jobab din,জবাব দো ,Jobab do,জবাব দেউকা,Zobab deuka
I was sick.,আমি অসুস্থ হয়ে পড়েছিলাম,Ami oshustho hoye porechilam,আই অসুস্থ ওই ফইজ্জি ,Ai osustho oi foijji,আমি অসুস্থ ওই গেছিলাম,Ami oshustho oi gesilam
Was sick.,অসুস্থ হয়ে পড়েছিলাম,Oshustho hoye porechilam,অসুস্থ ওই ফইজ্জি ,Osustho oi foijji,অসুস্থ ওই গেছিলাম,Oshustho oi gesilam
I saw him.,আমি তাকে দেখতে পেলাম,Ami take dekhte pelam,আই ইতারোরে ডিক্ষী ,Ai itarore dikshi,আমি হেরারে দেখছি,Ami herare dekhsi
Saw him.,তাকে দেখতে পেলাম,Take dekhte pelam,ইতারোরে ডিক্ষী ,Itarore dikshi,হেরারে দেখছি,Herare dekhsi
Saw.,দেখতে পেলাম,Dekhte pelam,ডিক্ষী ,Dikshi,দেখছি,Dekhsi
Wait here.,এখানে অপেক্ষা করুন,Ekhane opekkha korun,ইরে অপেক্ষা গোরো ,Ire opekkha goro,ওনো উবাউকা,Ono ubauka
Wait.,অপেক্ষা করুন,Opekkha korun,অপেক্ষা গোরো ,Opekkha goro,উবাউকা,Ubauka
Time is up.,সময় শেষ হয়ে গেছে,Shomoy shesh hoye geche,সময় শেষ ওই গিয়োই ,Shomoy shesh oi giyoi,সময় ফুরাই গেছে,Shomoy furai gese
Shimu likes red.,শিমুর লাল রং পছন্দ ,Shimur laal rong pochondo,শিমুর লাল রং পছন্দ ,Shimur lal rong pochondo,শিমুর লাল রং পছন্দ ,Shimur lal rong posondo
Shimu likes green.,শিমুর সবুজ রং পছন্দ ,Shimur shobuj rong pochondo,শিমুর সবুজ রং পছন্দ ,Shimur shobuj rong pochondo,শিমুর সবুজ রং পছন্দ ,Shimur sobuz rong posondo
Shimu likes black.,শিমুরকালো রং পছন্দ ,Shimur kalo rong pochondo,শিমুরকালো রং পছন্দ ,Shimur kalo rong pochondo,শিমুরকালো রং পছন্দ ,Shimur kalo rong posondo
He is not very tall.,তিনি বেশি লম্বা না,Tini beshi lomba na,এবা  বেশি ডোর না,Eba beshi dor na,তাইন বাক্কা লম্বা না,Tain bakka lomba na
I apologize.,আমি ক্ষমা চাইছি,Ami khoma chaichi,আই মাফ চাই,Ai maaf sai,আমি মাফ চাইয়ার,Ami maf saiyar
Apologize.,ক্ষমা চাইছি,Khoma chaichi,মাফ চাই,Maaf sai,মাফ চাইয়ার,Maf saiyar
I want.,আমি চাইছি,Ami chaichi,আই চাই,Ai sai,আমি চাইয়ার,Ami saiyar
He didn’t stand up.,তিনি উঠে দাঁড়ালেন না,Tini uthe daralen na,এবা উথি গিয়োয় না,Eba uthi giyoy na,তাইন উঠিয়া দাড়াইলা না,Tain uṭhiya daṛaila na
Didn’t stand up.,উঠে দাঁড়ালেন না,Uthe daralen na,উথি গিয়োয় না,Uthi giyoy na,উঠিয়া দাড়াইলা না,Uṭhiya daṛaila na
Didn’t stand.,দাঁড়ালেন না,Daralen na,গিয়োয় না,Giyoy na,দাড়াইলা না,Daṛaila na
He didn’t stand.,তিনি  দাঁড়ালেন না,Tini daralen na,এবা গিয়োয় না,Eba giyoy na,তাইন দাড়াইলা না,Tain daṛaila na
I am very tall., আমি বেশি লম্বা,Ami beshi lomba,আই বেশি ডোর ,Ai beshi dor,আমি বাক্কা লম্বা ,Ami bakka lomba
I am tall., আমি লম্বা,Ami lomba,আই ডোর ,Ai dor,আমি লম্বা ,Ami lomba
I am not very tall.,আমি বেশি লম্বা না,Ami beshi lomba na,আই বেশি ডোর না,Ai beshi dor na,আমি বাক্কা লম্বা না,Ami bakka lomba na
Not very tall.,বেশি লম্বা না,Beshi lomba na,বেশি ডোর না,Beshi dor na,বাক্কা লম্বা না,Bakka lomba na
Not tall.,লম্বা না,Lomba na,ডোর না,Dor na,লম্বা না,Lomba na
I am not tall.,আমি লম্বা না,Ami lomba na,আই ডোর না,Ai dor na,আমি লম্বা না,Ami lomba na
He is very tall.,তিনি বেশি লম্বা,Tini beshi lomba,এবা  বেশি ডোর ,Eba beshi dor,তাইন বাক্কা লম্বা ,Tain bakka lomba
I am lost.,আমি হারিয়ে গেছি,Ami hariye gechi,আই হারী গিয়ি,Ai hari giyi,আমি হারি গেছি,Ami hari gesi
Lost.,হারিয়ে গেছি,Hariye gechi,হারী গিয়ি,Hari giyi,আমি হারি গেছি,Ami hari gesi
I am okay.,আমি ঠিক আছি,Ami thik achi,আই ঠিক আছি,Ai thik asi,আমি ঠিক আছি,Ami ṭhik asi
Okay.,ঠিক আছি,Thik achi,ঠিক আছি,Thik asi,ঠিক আছি,Ṭhik asi
I came back.,আমি ফিরে এলাম,Ami fire elam,আই ফিরি আইসি,Ai firi aisi,আমি ফিরিয়া আইছি,Ami firiya aisi
Came back.,ফিরে এলাম,Fire elam,ফিরি আইসি,Firi aisi,ফিরিয়া আইছি,Firiya aisi
Came.,আমি এলাম,Ami elam,আই আইসি,Ai aisi,আমি আইছি,Ami aisi
I like cake.,আমি কেক পছন্দ করি,Ami cake pochondo kori,আই কেক ফসন্দ গরি ,Ai cake fosondo gori,আমি কেক ভালা ফাই,Ami kek bala fai
Like cake.,কেক পছন্দ করি,Cake pochondo kori,কেক ফসন্দ গরি ,Cake fosondo gori,কেক ভালা ফাই,Kek bala fai
Like.,পছন্দ করি,Pochondo kori,ফসন্দ গরি ,Fosondo gori,ভালা ফাই,Bala fai
I don’t like cake.,আমি কেক পছন্দ করি না,Ami cake pochondo kori na,আই কেক ফসন্দ গরি না,Ai cake fosondo gori na,আমি কেক ভালা ফাই না,Ami kek bala fai na
Don’t like cake.,কেক পছন্দ করি না,Cake pochondo kori na,কেক ফসন্দ গরি না,Cake fosondo gori na,কেক ভালা ফাই না,Kek bala fai na
Don’t like.,পছন্দ করি না,Pochondo kori na,ফসন্দ গরি না,Fosondo gori na,ভালা ফাই না,Bala fai na
Don’t like cake.,কেক পছন্দ না,Cake pochondo na,কেক ফসন্দ না,Cake fosondo na,কেক ভালা না,Kek bala na
Take a nap.,একটু ঘুমিয়ে নাও,Ektu ghumiye nao,এককানা ঘুমাইয়েরে লো,Ekana ghumaiyere lo,থুরা ঘুমাই যাও,Thura gumai zao
Nap.,ঘুমিয়ে নাও,Ghumiye nao,ঘুমাইয়েরে লো,Ghumaiyere lo,ঘুমাই যাও,Gumai zao
I was alone.,আমি একা ছিলাম,Ami eka chilam,আই একা আছিলাম,Ai eka asilam,আমি একলা আচলাম,Ami ekla aslam
Was alone.,একা ছিলাম,Eka chilam,একা আছিলাম,Eka asilam,একলা আচলাম,Ekla aslam
I was.,আমি ছিলাম,Ami chilam,আই আছিলাম,Ai asilam,আমি আচলাম,Ami aslam
Come with me.,আমার সঙ্গে আসুন,Amar shonge ashun,আর লই আইও ,Ar loi aiyo,আমার লগে থাকৌকা ,Amar loge thakouka
Come along.,সঙ্গে আসুন,Shonge ashun,লই আইও ,Loi aiyo,লগে থাকৌকা ,Loge thakouka
He was angry.,তিনি রেগে গেছিলেন,Tini rege gechilen,ইবা রাগী গেলো গোয় ,Iba ragi gelo goy,তাইন রাগী গেছলা,Tain ragi gesla
Was angry.,রেগে গেছিলেন,Rege gechilen,রাগী গেলো গোয় ,Ragi gelo goy,রাগী গেছলা,Ragi gesla
He was.,তিনি গেছিলেন,Tini gechilen,ইবা গেলো গোয় ,Iba gelo goy,তাইন গেছলা,Tain gesla
Hold my hand.,আমার হাতটা ধরুন,Amar haat-ta dhorun,আর হাত ইবা ধোইজ্জ ,Ar haat iba dhoijjo,আমার হাত ধরক্কা,Amar hat dorkka
Hold my hand.,হাতটা ধরুন,Haat-ta dhorun,হাত ইবা ধোইজ্জ ,Haat iba dhoijjo,হাত ধরক্কা,Hat dorkka
I was surprised.,আমি অবাক হয়ে গেছিলাম,Ami obak hoye gechilam,আই অবাক ওই গিয়িলাম,Ai obak oi giyilam,আমি অবাক ওই গেছলাম,Ami obak oi geslam
Was surprised.,অবাক হয়ে গেছিলাম,Obak hoye gechilam,অবাক ওই গিয়িলাম,Obak oi giyilam,অবাক ওই গেছলাম,Obak oi geslam
Was.,হয়ে গেছিলাম,Hoye gechilam,ওই গিয়িলাম,Oi giyilam,ওই গেছলাম,Oi geslam
I am surprised.,আমি অবাক,Ami obak,আই অবাক,Ai obak,আমি অবাক,Ami obak
I won’t come.,আমি আসব না,Ami ashbo na,আই নো আইস্সুম,Ai no aissum,আমি আইতাম নাই,Ami aitam nai
Won’t come.,আসব না,Ashbo na,নো আইস্সুম,No aissum,আইতাম নাই,Aitam nai
I will come.,আমি আসব ,Ami ashbo,আই আইস্সুম,Ai aissum,আমি আইতাম ,Ami aitam
I won’t lose.,আমি হারবো না,Ami harbo na,আই নো হাইজ্জুম্ম,Ai no haijjum,আমি হারতাম নাই,Ami hartam nai
Won’t lose.,হারবো না,Harbo na,নো হাইজ্জুম্ম,No haijjum,হারতাম নাই,Hartam nai
I will lose.,আমি হারবো ,Ami harbo,আই হাইজ্জুম্ম,Ai haijjum,আমি হারতাম ,Ami hartam
My hand hurts.,আমার হাত ব্যাথা করছে,Amar haat betha korche,আর আট টনটন গরের ,Ar aat tonton gorer,আমার হাতও বেদনা করের ,Amar hato bedona korer
